ISIN,Ticker,NAME,ASSET,Currency,COST,WEIGHT
US9229087690,VTI,Vanguard Total Stock Market ETF,SHARES.USA,USD,0.0003,20
US9219327783,VIOV,Vanguard S&P Small-Cap 600 Value ETF,SHARES.SMALLVALUE.USA,USD,0.001,20
US92206C8477,VGLT,Vanguard Long-Term Treasury ETF,BOND.USA.LONG,USD,0.0003,20
US92206C1027,VGSH,Vanguard Short-Term Treasury ETF,BOND.USA.SHORT,USD,0.0003,20
US98149E3036,GLDM,SPDR Gold MiniShares Trust,GOLD,USD,0.001,20
