Ticker,YFTicker,ISIN,ASSET,CCY,WEIGHT,COST
SPY,SPY,US78462F1030,SHARES,USD,25,0
SHY,SHY,US4642874576,BOND,USD,25,0
TLT,TLT,US4642874329,BOND,USD,25,0
GLD,GLD,US78463V1070,RAW,USD,25,0
