Ticker,YFTicker,ISIN,ASSET,CCY,WEIGHT,COST
SPY,SPY,US78462F1030,SHARES,USD,20,0
IJS,IJS,US4642878791,SHARES,USD,20,0
IEF,IEF,US4642874402,BOND,USD,20,0
TLT,TLT,US4642874329,BOND,USD,20,0
GLD,GLD,US78463V1070,RAW,USD,20,0
