Ticker,YFTicker,ISIN,ASSET,CCY,WEIGHT,COST
SPY,SPY,US78462F1030,SHARES,USD,33.34,0
IEF,IEF,US4642874402,BOND,USD,33.33,0
GLD,GLD,US78463V1070,RAW,USD,33.33,0
