Ticker,YFTicker,ISIN,ASSET,CCY,WEIGHT,COST,NAME,ROLE
SPY,SPY,US78462F1030,SHARES,USD,20,0,SPDR S&P 500 ETF Trust,Duże spółki USA
IJS,IJS,US4642878791,SHARES,USD,20,0,iShares S&P Small-Cap 600 Value ETF,Małe spółki value USA
IEF,IEF,US4642874402,BOND,USD,20,0,iShares 7-10 Year Treasury Bond ETF,10-letnie obligacje USA
TLT,TLT,US4642874329,BOND,USD,20,0,iShares 20+ Year Treasury Bond ETF,Długie obligacje USA
GLD,GLD,US78463V1070,RAW,USD,20,0,SPDR Gold Shares,Złoto
