Ticker,ISIN,ASSET,CCY,WEIGHT,COST,LIB_COL,NAME
SYNTH_US_STOCKS,SYNTH_US_STOCKS,SHARES,USD,50,0,US_STOCKS_TR,Synthetic US Stocks TR
SYNTH_US_10Y_BONDS,SYNTH_US_10Y_BONDS,BOND,USD,50,0,US_10Y_BONDS_TR,Synthetic US 10Y Treasury Bonds TR
