NAME,USD/PLN
ISIN,USDPLN
2002-11-05,3.97800000
2002-11-06,3.98120000
2002-11-07,3.95040000
2002-11-08,3.93190000
2002-11-12,3.91740000
2002-11-13,3.92250000
2002-11-14,3.93980000
2002-11-15,3.93200000
2002-11-18,3.91580000
2002-11-19,3.87980000
2002-11-20,3.92080000
2002-11-21,3.94300000
2002-11-22,3.93150000
2002-11-25,3.94440000
2002-11-26,3.98700000
2002-11-27,3.97630000
2002-11-28,3.98650000
2002-11-29,4.00780000
2002-12-02,3.99980000
2002-12-03,3.97850000
2002-12-04,3.98160000
2002-12-05,3.98820000
2002-12-06,3.98930000
2002-12-09,3.95930000
2002-12-10,3.93600000
2002-12-11,3.93980000
2002-12-12,3.91340000
2002-12-13,3.88680000
2002-12-16,3.88150000
2002-12-17,3.87510000
2002-12-18,3.90130000
2002-12-19,3.89100000
2002-12-20,3.88590000
2002-12-23,3.86420000
2002-12-24,3.87360000
2002-12-27,3.85140000
2002-12-30,3.83690000
2002-12-31,3.83880000
2003-01-02,3.82830000
2003-01-03,3.84030000
2003-01-06,3.82040000
2003-01-07,3.83350000
2003-01-08,3.84240000
2003-01-09,3.82800000
2003-01-10,3.82140000
2003-01-13,3.80860000
2003-01-14,3.80940000
2003-01-15,3.81520000
2003-01-16,3.79140000
2003-01-17,3.80910000
2003-01-20,3.81460000
2003-01-21,3.81950000
2003-01-22,3.86800000
2003-01-23,3.94180000
2003-01-24,3.86880000
2003-01-27,3.84810000
2003-01-28,3.84870000
2003-01-29,3.80360000
2003-01-30,3.79930000
2003-01-31,3.81730000
2003-02-03,3.83260000
2003-02-04,3.84270000
2003-02-05,3.81910000
2003-02-06,3.85800000
2003-02-07,3.85750000
2003-02-10,3.85850000
2003-02-11,3.87120000
2003-02-12,3.84980000
2003-02-13,3.85480000
2003-02-14,3.85590000
2003-02-17,3.87300000
2003-02-18,3.86310000
2003-02-19,3.87050000
2003-02-20,3.88820000
2003-02-21,3.87900000
2003-02-24,3.89020000
2003-02-25,3.88240000
2003-02-26,3.88500000
2003-02-27,3.88730000
2003-02-28,3.91350000
2003-03-03,3.95880000
2003-03-04,3.95180000
2003-03-05,3.93140000
2003-03-06,3.90930000
2003-03-07,3.89590000
2003-03-10,3.93350000
2003-03-11,3.95270000
2003-03-12,3.96390000
2003-03-13,4.02870000
2003-03-14,3.99900000
2003-03-17,4.02650000
2003-03-18,4.06480000
2003-03-19,4.06930000
2003-03-20,4.06250000
2003-03-21,4.06980000
2003-03-24,4.07460000
2003-03-25,4.06210000
2003-03-26,4.06350000
2003-03-27,4.05710000
2003-03-28,4.07360000
2003-03-31,4.05120000
2003-04-01,4.08230000
2003-04-02,4.07460000
2003-04-03,4.05980000
2003-04-04,4.06900000
2003-04-07,4.09100000
2003-04-08,4.05540000
2003-04-09,3.99480000
2003-04-10,3.95420000
