ISIN,Ticker,NAME,ASSET,Currency,COST,WEIGHT
IE000XZSV718,SPYL,State Street SPDR S&P 500 UCITS ETF USD Unhedged (Acc),SHARES.USA,USD,0.0003,60
IE00BFM6TC58,SXRC,iShares USD Treasury Bond 20+yr UCITS ETF USD (Acc),BOND.USA,USD,0.0007,40
