ISIN,Ticker,NAME,ASSET,Currency,COST,WEIGHT
IE000716YHJ7,FWIA,Invesco FTSE All-World UCITS ETF Acc,SHARES.GLOBAL,USD,0.0015,25.0
IE00BGYWFS63,VAGT,Vanguard USD Treasury Bond UCITS ETF Accumulating,BOND.USA,USD,0.0005,12.5
LU1437024729,10AU,Amundi Core Global Aggregate Bond UCITS ETF Acc,BOND.GLOBAL,EUR,0.001,12.5
IE00BD6FTQ80,CMOD,Invesco Bloomberg Commodity UCITS ETF Acc,RAW.BROAD,USD,0.0019,25.0
IE00BH4GR342,SPY2,SPDR Dow Jones Global Real Estate UCITS ETF USD Unhedged (Acc),REIT.GLOBAL,USD,0.004,25.0
